Дата;Название;Валюта;Цена
16.08.2021,JetBlue Airways Corp (JBLU),$,15.14
13.08.2021,JetBlue Airways Corp (JBLU),$,15.35
12.08.2021,JetBlue Airways Corp (JBLU),$,15.6
11.08.2021,JetBlue Airways Corp (JBLU),$,15.83
10.08.2021,JetBlue Airways Corp (JBLU),$,15.5
09.08.2021,JetBlue Airways Corp (JBLU),$,15.14
06.08.2021,JetBlue Airways Corp (JBLU),$,15.25
05.08.2021,JetBlue Airways Corp (JBLU),$,15.17
04.08.2021,JetBlue Airways Corp (JBLU),$,14.47
03.08.2021,JetBlue Airways Corp (JBLU),$,14.78
02.08.2021,JetBlue Airways Corp (JBLU),$,14.69
30.07.2021,JetBlue Airways Corp (JBLU),$,14.79
29.07.2021,JetBlue Airways Corp (JBLU),$,15.15
28.07.2021,JetBlue Airways Corp (JBLU),$,15.31
27.07.2021,JetBlue Airways Corp (JBLU),$,14.96
26.07.2021,JetBlue Airways Corp (JBLU),$,16.07
23.07.2021,JetBlue Airways Corp (JBLU),$,15.53
22.07.2021,JetBlue Airways Corp (JBLU),$,15.66
21.07.2021,JetBlue Airways Corp (JBLU),$,15.87
20.07.2021,JetBlue Airways Corp (JBLU),$,15.35
19.07.2021,JetBlue Airways Corp (JBLU),$,14.4
16.07.2021,JetBlue Airways Corp (JBLU),$,14.84
15.07.2021,JetBlue Airways Corp (JBLU),$,15.58
14.07.2021,JetBlue Airways Corp (JBLU),$,15.62
13.07.2021,JetBlue Airways Corp (JBLU),$,15.85
12.07.2021,JetBlue Airways Corp (JBLU),$,16.5
09.07.2021,JetBlue Airways Corp (JBLU),$,16.47
08.07.2021,JetBlue Airways Corp (JBLU),$,16.06
07.07.2021,JetBlue Airways Corp (JBLU),$,16.16
06.07.2021,JetBlue Airways Corp (JBLU),$,16.57
02.07.2021,JetBlue Airways Corp (JBLU),$,17.1
01.07.2021,JetBlue Airways Corp (JBLU),$,17.12
30.06.2021,JetBlue Airways Corp (JBLU),$,16.78
29.06.2021,JetBlue Airways Corp (JBLU),$,16.71
28.06.2021,JetBlue Airways Corp (JBLU),$,16.93
25.06.2021,JetBlue Airways Corp (JBLU),$,17.18
24.06.2021,JetBlue Airways Corp (JBLU),$,17.37
23.06.2021,JetBlue Airways Corp (JBLU),$,17.32
22.06.2021,JetBlue Airways Corp (JBLU),$,17.46
21.06.2021,JetBlue Airways Corp (JBLU),$,17.65
18.06.2021,JetBlue Airways Corp (JBLU),$,17.31
17.06.2021,JetBlue Airways Corp (JBLU),$,17.33
16.06.2021,JetBlue Airways Corp (JBLU),$,18.03
15.06.2021,JetBlue Airways Corp (JBLU),$,18.07
14.06.2021,JetBlue Airways Corp (JBLU),$,18.33
11.06.2021,JetBlue Airways Corp (JBLU),$,18.65
10.06.2021,JetBlue Airways Corp (JBLU),$,18.44
09.06.2021,JetBlue Airways Corp (JBLU),$,18.83
08.06.2021,JetBlue Airways Corp (JBLU),$,19.33
07.06.2021,JetBlue Airways Corp (JBLU),$,19.16
04.06.2021,JetBlue Airways Corp (JBLU),$,19.06
03.06.2021,JetBlue Airways Corp (JBLU),$,19.04
02.06.2021,JetBlue Airways Corp (JBLU),$,19.92
01.06.2021,JetBlue Airways Corp (JBLU),$,20.24
28.05.2021,JetBlue Airways Corp (JBLU),$,20.1
27.05.2021,JetBlue Airways Corp (JBLU),$,20.55
26.05.2021,JetBlue Airways Corp (JBLU),$,20.33
25.05.2021,JetBlue Airways Corp (JBLU),$,19.86
24.05.2021,JetBlue Airways Corp (JBLU),$,20.03
21.05.2021,JetBlue Airways Corp (JBLU),$,19.4
20.05.2021,JetBlue Airways Corp (JBLU),$,19.58
19.05.2021,JetBlue Airways Corp (JBLU),$,19.77
18.05.2021,JetBlue Airways Corp (JBLU),$,20.04
17.05.2021,JetBlue Airways Corp (JBLU),$,19.91
14.05.2021,JetBlue Airways Corp (JBLU),$,19.68
13.05.2021,JetBlue Airways Corp (JBLU),$,18.95
12.05.2021,JetBlue Airways Corp (JBLU),$,18.4
11.05.2021,JetBlue Airways Corp (JBLU),$,19.05
10.05.2021,JetBlue Airways Corp (JBLU),$,19.26
07.05.2021,JetBlue Airways Corp (JBLU),$,19.56
06.05.2021,JetBlue Airways Corp (JBLU),$,19.33
05.05.2021,JetBlue Airways Corp (JBLU),$,19.32
04.05.2021,JetBlue Airways Corp (JBLU),$,19.05
03.05.2021,JetBlue Airways Corp (JBLU),$,19.7
08.12.2021,Oracle Corporation (ORCL),$,88.94
07.12.2021,Oracle Corporation (ORCL),$,90.05
06.12.2021,Oracle Corporation (ORCL),$,88.94
03.12.2021,Oracle Corporation (ORCL),$,88.24
02.12.2021,Oracle Corporation (ORCL),$,89.99
01.12.2021,Oracle Corporation (ORCL),$,89.75
30.11.2021,Oracle Corporation (ORCL),$,90.74
29.11.2021,Oracle Corporation (ORCL),$,92.94
26.11.2021,Oracle Corporation (ORCL),$,92.33
24.11.2021,Oracle Corporation (ORCL),$,93.58
23.11.2021,Oracle Corporation (ORCL),$,92.94
22.11.2021,Oracle Corporation (ORCL),$,94.61
19.11.2021,Oracle Corporation (ORCL),$,93.97
18.11.2021,Oracle Corporation (ORCL),$,94.66
17.11.2021,Oracle Corporation (ORCL),$,95.33
16.11.2021,Oracle Corporation (ORCL),$,95.61
15.11.2021,Oracle Corporation (ORCL),$,94.02
12.11.2021,Oracle Corporation (ORCL),$,93.54
11.11.2021,Oracle Corporation (ORCL),$,94.04
10.11.2021,Oracle Corporation (ORCL),$,93.83
09.11.2021,Oracle Corporation (ORCL),$,94.59
08.11.2021,Oracle Corporation (ORCL),$,95.14
05.11.2021,Oracle Corporation (ORCL),$,94.95
04.11.2021,Oracle Corporation (ORCL),$,95.63
03.11.2021,Oracle Corporation (ORCL),$,96.15
02.11.2021,Oracle Corporation (ORCL),$,95.87
01.11.2021,Oracle Corporation (ORCL),$,94.38
29.10.2021,Oracle Corporation (ORCL),$,95.94
28.10.2021,Oracle Corporation (ORCL),$,96.23
27.10.2021,Oracle Corporation (ORCL),$,96.03
26.10.2021,Oracle Corporation (ORCL),$,96.98
25.10.2021,Oracle Corporation (ORCL),$,97.89
22.10.2021,Oracle Corporation (ORCL),$,98.25
21.10.2021,Oracle Corporation (ORCL),$,96.3
20.10.2021,Oracle Corporation (ORCL),$,96.64
19.10.2021,Oracle Corporation (ORCL),$,97.06
18.10.2021,Oracle Corporation (ORCL),$,96.51
15.10.2021,Oracle Corporation (ORCL),$,95.33
14.10.2021,Oracle Corporation (ORCL),$,95.28
13.10.2021,Oracle Corporation (ORCL),$,96.4
12.10.2021,Oracle Corporation (ORCL),$,95.57
11.10.2021,Oracle Corporation (ORCL),$,95.29
08.10.2021,Oracle Corporation (ORCL),$,94.39
07.10.2021,Oracle Corporation (ORCL),$,92.31
06.10.2021,Oracle Corporation (ORCL),$,91.34
05.10.2021,Oracle Corporation (ORCL),$,91.49
04.10.2021,Oracle Corporation (ORCL),$,89.26
01.10.2021,Oracle Corporation (ORCL),$,89.74
30.09.2021,Oracle Corporation (ORCL),$,87.13
29.09.2021,Oracle Corporation (ORCL),$,91.25
28.09.2021,Oracle Corporation (ORCL),$,90.49
27.09.2021,Oracle Corporation (ORCL),$,91.04
24.09.2021,Oracle Corporation (ORCL),$,89.94
23.09.2021,Oracle Corporation (ORCL),$,89.42
22.09.2021,Oracle Corporation (ORCL),$,88.44
21.09.2021,Oracle Corporation (ORCL),$,86.92
20.09.2021,Oracle Corporation (ORCL),$,86.17
17.09.2021,Oracle Corporation (ORCL),$,86.39
16.09.2021,Oracle Corporation (ORCL),$,87.25
15.09.2021,Oracle Corporation (ORCL),$,87.73
14.09.2021,Oracle Corporation (ORCL),$,86.39
13.09.2021,Oracle Corporation (ORCL),$,88.89
10.09.2021,Oracle Corporation (ORCL),$,89.68
09.09.2021,Oracle Corporation (ORCL),$,89.54
08.09.2021,Oracle Corporation (ORCL),$,89.47
07.09.2021,Oracle Corporation (ORCL),$,88.72
03.09.2021,Oracle Corporation (ORCL),$,90
02.09.2021,Oracle Corporation (ORCL),$,89.8
01.09.2021,Oracle Corporation (ORCL),$,89.95
31.08.2021,Oracle Corporation (ORCL),$,89.13
30.08.2021,Oracle Corporation (ORCL),$,89.45
27.08.2021,Oracle Corporation (ORCL),$,89.35
26.08.2021,Oracle Corporation (ORCL),$,88.72
25.08.2021,Oracle Corporation (ORCL),$,88.62
24.08.2021,Oracle Corporation (ORCL),$,88.55
23.08.2021,Oracle Corporation (ORCL),$,89.12
20.08.2021,Oracle Corporation (ORCL),$,88.94
19.08.2021,Oracle Corporation (ORCL),$,88.71
18.08.2021,Oracle Corporation (ORCL),$,88.94
17.08.2021,Oracle Corporation (ORCL),$,90.95
16.08.2021,Oracle Corporation (ORCL),$,90.82
13.08.2021,Oracle Corporation (ORCL),$,90.38
12.08.2021,Oracle Corporation (ORCL),$,89.81
11.08.2021,Oracle Corporation (ORCL),$,89.63
10.08.2021,Oracle Corporation (ORCL),$,89.64
09.08.2021,Oracle Corporation (ORCL),$,89.9
06.08.2021,Oracle Corporation (ORCL),$,89.52
05.08.2021,Oracle Corporation (ORCL),$,89.43
04.08.2021,Oracle Corporation (ORCL),$,90.05
03.08.2021,Oracle Corporation (ORCL),$,89.74
02.08.2021,Oracle Corporation (ORCL),$,87.6
30.07.2021,Oracle Corporation (ORCL),$,87.14
29.07.2021,Oracle Corporation (ORCL),$,87.63
28.07.2021,Oracle Corporation (ORCL),$,87.18
27.07.2021,Oracle Corporation (ORCL),$,87.8
26.07.2021,Oracle Corporation (ORCL),$,87.86
23.07.2021,Oracle Corporation (ORCL),$,87.69
22.07.2021,Oracle Corporation (ORCL),$,90.69
21.07.2021,Oracle Corporation (ORCL),$,89.69
20.07.2021,Oracle Corporation (ORCL),$,88.66
19.07.2021,Oracle Corporation (ORCL),$,86.98
16.07.2021,Oracle Corporation (ORCL),$,87.49
15.07.2021,Oracle Corporation (ORCL),$,86.24
14.07.2021,Oracle Corporation (ORCL),$,88.28
13.07.2021,Oracle Corporation (ORCL),$,87.07
12.07.2021,Oracle Corporation (ORCL),$,87.08
09.07.2021,Oracle Corporation (ORCL),$,87.76
08.07.2021,Oracle Corporation (ORCL),$,85.59
07.07.2021,Oracle Corporation (ORCL),$,86.09
06.07.2021,Oracle Corporation (ORCL),$,83.08
02.07.2021,Oracle Corporation (ORCL),$,81.82
01.07.2021,Oracle Corporation (ORCL),$,79.54
30.06.2021,Oracle Corporation (ORCL),$,77.84
29.06.2021,Oracle Corporation (ORCL),$,78.1
28.06.2021,Oracle Corporation (ORCL),$,78.5
25.06.2021,Oracle Corporation (ORCL),$,78.46
24.06.2021,Oracle Corporation (ORCL),$,77.74
23.06.2021,Oracle Corporation (ORCL),$,78.1
22.06.2021,Oracle Corporation (ORCL),$,78.68
21.06.2021,Oracle Corporation (ORCL),$,77.99
18.06.2021,Oracle Corporation (ORCL),$,76.23
17.06.2021,Oracle Corporation (ORCL),$,77.56
16.06.2021,Oracle Corporation (ORCL),$,77.08
15.06.2021,Oracle Corporation (ORCL),$,81.64
14.06.2021,Oracle Corporation (ORCL),$,82.62
11.06.2021,Oracle Corporation (ORCL),$,82.9
10.06.2021,Oracle Corporation (ORCL),$,82.3
09.06.2021,Oracle Corporation (ORCL),$,84.52
08.06.2021,Oracle Corporation (ORCL),$,84.61
07.06.2021,Oracle Corporation (ORCL),$,83.94
04.06.2021,Oracle Corporation (ORCL),$,82.89
03.06.2021,Oracle Corporation (ORCL),$,81.09
02.06.2021,Oracle Corporation (ORCL),$,80.27
01.06.2021,Oracle Corporation (ORCL),$,79.57
28.05.2021,Oracle Corporation (ORCL),$,78.74
27.05.2021,Oracle Corporation (ORCL),$,78.98
26.05.2021,Oracle Corporation (ORCL),$,79.26
25.05.2021,Oracle Corporation (ORCL),$,78.83
24.05.2021,Oracle Corporation (ORCL),$,79.38
21.05.2021,Oracle Corporation (ORCL),$,79.03
20.05.2021,Oracle Corporation (ORCL),$,78.72
